所属年级,来源,具体来源,章节,试卷题号,题目截图,题干文本,所属章节,参考答案,答案文本,参考解析,,,,,,,,,
高中,高考题,2023新高考I,,1,,"
 
 1. (5分 ) 已知集合 $ M=\{-2,-1,0,1,2\}, N=\left\{x \mid x^{2}-x-6 \geq 0\right\} $, 则 $ M \cap N=(\quad) $
A. $ \{-2,-1,0,1\} $
B. $ \{0,1,2\} $
C. $ \{-2\} $
D. $ \{2\} $",集合,C,C,,,,,,,,,,
高中,高考题,2023新高考I,,2,,"2. (5分) 已知 $z=\frac{1-i}{2+2 i}$, 则 $z-\bar{z}=(\quad)$
A. $-i$
B. $i$
C. 0
D. 1
",复数,A,A,,,,,,,,,,
高中,高考题,2023新高考II,,1,,"1. ( 5 分 ) 在复平面内, $(1+3 i)(3-i)$ 对应的点位于 $(\quad)$
A. 第一象限
B. 第二象限
C. 第三象限
D. 第四象限",复数,A,A,,,,,,,,,,
高中,高考题,2023新高考II,,2,,"2. (5分) 设集合 $A=\{0,-a\}, B=\{1, a-2,2 a-2\}$, 若 $A \subseteq B$, 则 $a=(\quad)$
A. 2
B. 1
C. $\frac{2}{3}$
D. -1
",集合,B,B,,,,,,,,,,
高中,高考题,2023新高考II,,4,,"4. (5分) 若 $f(x)=(x+a) \ln \frac{2 x-1}{2 x+1}$ 为偶函数, 则 $a=(\quad)$
A. -1
B. 0
C. $\frac{1}{2}$
D. 1",初等函数基本属性,B,B,,,,,,,,,,
高中,高考题,2023甲卷,,1,,"1. (5分) 设集合 $A=\{x \mid x=3 k+1, k \in Z\}, B=\{x \mid x=3 k+2, k \in Z\}, U$ 为整数集, 则 $\complement_{U}(A \cup B)=(\quad)$
A. $\{x \mid x=3 k, k \in Z\}$
B. $\{x \mid x=3 k-1, k \in Z\}$
C. $\{x \mid x=3 k-2, k \in Z\}$
D. $\varnothing$",集合,A,A,,,,,,,,,,
高中,高考题,2023甲卷,,2,,"2. (5分) 若复数 $(a+i)(1-a i)=2, a \in R$, 则 $a=(\quad)$
A. -1
B. 0
C. 1
D. 2",复数,C,C,,,,,,,,,,
高中,高考题,2023甲卷,,13,,"13. (5分) 若 $y=(x-1)^{2}+a x+\sin \left(x+\frac{\pi}{2}\right)$ 为偶函数, 则 $a=$",初等函数基本属性,$2$,$2$,,,,,,,,,,
高中,高考题,2023乙卷,,1,,"1. (5分) 设 $z=\frac{2+i}{1+i^{2}+i^{5}}$, 则 $\bar{z}=(\quad)$
A. $1-2 i$
B. $1+2 i$
C. $2-i$
D. $2+i$",复数,B,B,,,,,,,,,,
高中,高考题,2023乙卷,,2,,"2. (5分) 设集合 $U=R$, 集合 $M=\{x \mid x \lt 1\}, N=\{x \mid-1 \lt x \lt 2\}$, 则 $\{x \mid x \geq 2\}=(\quad)$
A. $\complement_{U}(M \cup N)$
B. $N \cup \complement_{U} M$
C. $\complement_{U}(M \cap N)$
D. $M \cup \complement_{U} N$",集合,A,A,,,,,,,,,,
高中,高考题,2023乙卷,,4,,"4. (5 分) 已知 $f(x)=\frac{x e^{x}}{e^{a x}-1}$ 是偶函数, 则 $a=(\quad)$
A. -2
B. -1
C. 1
D. 2",初等函数基本属性,D,D,,,,,,,,,,
高中,高考题,2023天津,,1,,"1. (5分) 已知集合 $U=\{1,2,3,4,5\}, A=\{1,3\}, B=\{1,2,4\}$, 则 ( $\left.\complement_{U}{B}\right) \cup A=(\quad)$
A. $\{1,3,5\}$
B. $\{1,3\}$
C. $\{1,2,4\}$
D. $\{1,2,4,5\}$",集合,A,A,,,,,,,,,,
